Model Index,dim_hid,alpha,eps,normalize,hidden_activation,output_activation,lr_schedule,weight_init,sparsity,weight_scale,early_stopping,Train CE,Train RE,Val CE,Val RE,Duration
70,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02921875,0.035420784804864734,0.021875,57.863553303494086,39.046560525894165
71,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0275,0.03263648908138635,0.025,56.37971786705398,40.13605833053589
72,50,0.01,200,True,sigmoid,softmax,"{'decay': 'step_decay', 'params': {'drop': 0.8, 'epochs_drop': 15}}",sparse,0.2,2.0,{'stop-early': False},0.01296875,0.018427203431256412,0.018125,34.223439045143785,205.7526512145996
73,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02390625,0.02801079907694177,0.019375,46.319333569317166,45.87211275100708
74,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02859375,0.032568160513323764,0.021875,52.69572737727384,39.47621440887451
75,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,1.0,{'stop-early': False},0.00953125,0.011826145503255576,0.01625,23.91119818939164,203.55287170410156
76,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02625,0.02917564770117532,0.02,48.655754831311015,35.32859969139099
77,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0190625,0.022905967597453936,0.016875,39.43533622380374,47.29623866081238
78,50,0.01,200,True,sigmoid,softmax,{'decay': None},normal_dist,,2.0,{'stop-early': False},0.0096875,0.011289044149432628,0.009375,21.731084433920746,202.79549908638
85,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02109375,0.024691593018143852,0.018125,40.72383685712667,62.266950607299805
86,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0225,0.024267109911316663,0.02,46.0942056869328,56.568360567092896
87,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,1.0,{'stop-early': False},0.01078125,0.012238013464511975,0.011875,21.781007734615454,206.75484776496887
88,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02828125,0.031783022932311555,0.024375,51.754623916292225,35.96840286254883
89,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0203125,0.02241770725677179,0.0175,37.30998751599494,67.71110343933105
90,50,0.01,200,True,sigmoid,softmax,{'decay': None},uniform,,2.0,{'stop-early': False},0.009375,0.01142868573453725,0.0125,21.92278358143599,204.82918763160706
97,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02453125,0.03152406545212964,0.02,51.08235900665611,50.41228199005127
98,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.025625,0.027211161378015006,0.024375,46.86108352332959,78.21815824508667
99,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,1.0,{'stop-early': False},0.01828125,0.01879281709552617,0.01875,34.07265560454217,207.68190598487854
100,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.02453125,0.030216336812668425,0.019375,49.145980239626205,53.75673842430115
101,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.0278125,0.031828077790702534,0.024375,53.13840652574803,62.22136211395264
102,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.1,2.0,{'stop-early': False},0.01359375,0.014357234434613033,0.0175,27.858415754956795,204.36331033706665
103,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.01765625,0.020263602106168878,0.01625,33.87260108597393,106.18536067008972
104,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.03375,0.040573745145545057,0.028125,65.91040225976694,35.52041959762573
105,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,1.0,{'stop-early': False},0.01140625,0.014622668858771195,0.015625,27.051325146941522,202.08590269088745
106,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0}",0.026875,0.036057787294395904,0.02,58.612315900824576,33.593876361846924
107,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,"{'stop-early': True, 'patience': 10, 'delta': 0.001}",0.02265625,0.02686066905933379,0.024375,48.29502927998084,48.45631122589111
108,50,0.01,200,True,sigmoid,softmax,{'decay': None},sparse,0.2,2.0,{'stop-early': False},0.01234375,0.014076067708570726,0.01875,28.46654735636449,224.61394882202148
