model_id,dim_hid,alpha,eps,normalize,weight_init,hidden_activation,output_activation,sparsity,weight_scale,patience,delta,train_CE,train_RE,val_CE,val_RE,duration
136,10,0.01,200,True,sparse,relu,softmax,0.1,2.0,10,0.001,0.055,0.04942068771483132,0.045625,76.7749374867238,23.752802848815918
137,10,0.01,200,True,sparse,relu,softmax,0.2,1.0,,,0.40484375,0.25342144362966407,0.3975,400.62230791541805,130.9553143978119
139,10,0.01,200,True,sparse,relu,softmax,0.2,1.0,10,0,0.3365625,0.22981155711673373,0.29375,356.44204848167743,12.74331283569336
140,10,0.01,200,True,sparse,relu,softmax,0.2,1.0,10,0.001,0.049375,0.04242276544466694,0.04375,65.4040735116575,25.521333694458008
141,10,0.01,200,True,sparse,relu,softmax,0.2,2.0,,,0.05203125,0.04380885902669051,0.05375,71.43502357726736,132.6819417476654
143,10,0.01,200,True,sparse,relu,softmax,0.2,2.0,10,0,0.05640625,0.0540186770838421,0.035625,79.69708268528784,19.828933715820312
144,10,0.01,200,True,sparse,relu,softmax,0.2,2.0,10,0.001,0.0709375,0.05646967342912794,0.06,81.74152621627003,17.208127737045288
145,10,0.01,200,False,normal_dist,sigmoid,softmax,,1.0,,,0.356875,0.2152802388940571,0.361875,345.25241809797376,194.33145999908447
147,10,0.01,200,False,normal_dist,sigmoid,softmax,,1.0,10,0,0.46359375,0.32439444714618404,0.450625,502.12412248357174,13.239232063293457
148,10,0.01,200,False,normal_dist,sigmoid,softmax,,1.0,10,0.001,0.4390625,0.2553232004866268,0.415,404.1180488267087,16.73147463798523
149,10,0.01,200,False,normal_dist,sigmoid,softmax,,2.0,,,0.45546875,0.2662394630637303,0.444375,426.0291337802417,197.15112972259521
151,10,0.01,200,False,normal_dist,sigmoid,softmax,,2.0,10,0,0.45453125,0.3010865088989762,0.4425,459.51687934364605,19.89124822616577
152,10,0.01,200,False,normal_dist,sigmoid,softmax,,2.0,10,0.001,0.445,0.2952959454859983,0.34625,486.39143113572726,13.77829360961914
161,10,0.01,200,False,normal_dist,tanh,softmax,,1.0,,,0.8575,nan,0.863125,nan,128.92588686943054
163,10,0.01,200,False,normal_dist,tanh,softmax,,1.0,10,0,0.8571875,nan,0.863125,nan,7.613527059555054
164,10,0.01,200,False,normal_dist,tanh,softmax,,1.0,10,0.001,0.85765625,nan,0.863125,nan,7.530004262924194
165,10,0.01,200,False,normal_dist,tanh,softmax,,2.0,,,0.8575,nan,0.863125,nan,127.11083483695984
167,10,0.01,200,False,normal_dist,tanh,softmax,,2.0,10,0,0.8571875,nan,0.863125,nan,7.543938875198364
168,10,0.01,200,False,normal_dist,tanh,softmax,,2.0,10,0.001,0.85734375,nan,0.863125,nan,7.542222261428833
177,10,0.01,200,False,normal_dist,relu,softmax,,1.0,,,0.45265625,0.3240919351918245,0.450625,515.0353144591481,133.17355227470398
179,10,0.01,200,False,normal_dist,relu,softmax,,1.0,10,0,0.455,0.316087997516845,0.450625,483.84877198071996,7.747310161590576
180,10,0.01,200,False,normal_dist,relu,softmax,,1.0,10,0.001,0.47125,0.3383877651038688,0.450625,514.8857736572581,7.830198049545288
181,10,0.01,200,False,normal_dist,relu,softmax,,2.0,,,0.45265625,0.3240635928577834,0.450625,515.4176189598782,130.08569145202637
183,10,0.01,200,False,normal_dist,relu,softmax,,2.0,10,0,0.45625,0.3369867100364543,0.450625,455.56702092896916,7.806093692779541
184,10,0.01,200,False,normal_dist,relu,softmax,,2.0,10,0.001,0.45390625,0.3170371280139118,0.450625,489.1487603193654,7.808104991912842
193,10,0.01,200,False,uniform,sigmoid,softmax,,1.0,,,0.35703125,0.22910632589464608,0.360625,370.86665503506646,198.30329489707947
195,10,0.01,200,False,uniform,sigmoid,softmax,,1.0,10,0,0.46,0.32034900486299867,0.450625,500.85026178037555,12.720545053482056
196,10,0.01,200,False,uniform,sigmoid,softmax,,1.0,10,0.001,0.40375,0.27999532470821115,0.33,404.1760599325858,11.695204496383667
197,10,0.01,200,False,uniform,sigmoid,softmax,,2.0,,,0.45625,0.26890855506054295,0.44375,434.31261527193675,199.8769974708557
199,10,0.01,200,False,uniform,sigmoid,softmax,,2.0,10,0,0.37890625,0.24314795446805243,0.33625,389.23134252909693,23.91775369644165
200,10,0.01,200,False,uniform,sigmoid,softmax,,2.0,10,0.001,0.4553125,0.2754580653294758,0.444375,429.62242814706514,19.34834384918213
209,10,0.01,200,False,uniform,tanh,softmax,,1.0,,,0.8575,nan,0.863125,nan,126.52891516685486
211,10,0.01,200,False,uniform,tanh,softmax,,1.0,10,0,0.8575,nan,0.863125,nan,7.499049663543701
212,10,0.01,200,False,uniform,tanh,softmax,,1.0,10,0.001,0.85734375,nan,0.863125,nan,7.548577785491943
213,10,0.01,200,False,uniform,tanh,softmax,,2.0,,,0.8575,nan,0.863125,nan,129.89041805267334
215,10,0.01,200,False,uniform,tanh,softmax,,2.0,10,0,0.8571875,nan,0.863125,nan,7.556230545043945
216,10,0.01,200,False,uniform,tanh,softmax,,2.0,10,0.001,0.8578125,nan,0.863125,nan,7.5932886600494385
225,10,0.01,200,False,uniform,relu,softmax,,1.0,,,0.45609375,0.2875571717466995,0.450625,450.8104036731632,130.6634500026703
227,10,0.01,200,False,uniform,relu,softmax,,1.0,10,0,0.45578125,0.3283188797784458,0.450625,516.3203154179646,7.840034008026123
228,10,0.01,200,False,uniform,relu,softmax,,1.0,10,0.001,0.464375,0.3332847472847408,0.450625,514.8531734124841,7.79178524017334
229,10,0.01,200,False,uniform,relu,softmax,,2.0,,,0.45265625,0.3240095869159352,0.450625,514.6747348542125,131.62356305122375
231,10,0.01,200,False,uniform,relu,softmax,,2.0,10,0,0.44265625,0.2859204191558203,0.378125,414.11557000644103,17.950946807861328
232,10,0.01,200,False,uniform,relu,softmax,,2.0,10,0.001,0.4334375,0.28546805950500515,0.34125,404.3199924556014,8.666373491287231
241,10,0.01,200,False,sparse,sigmoid,softmax,0.1,1.0,,,0.45078125,0.2648888083410657,0.450625,417.3392200774687,194.4784905910492
243,10,0.01,200,False,sparse,sigmoid,softmax,0.1,1.0,10,0,0.44859375,0.2869527094712235,0.345,423.4499810301847,13.672084093093872
244,10,0.01,200,False,sparse,sigmoid,softmax,0.1,1.0,10,0.001,0.4515625,0.2471579131879046,0.435,390.67982344658145,21.660722732543945
245,10,0.01,200,False,sparse,sigmoid,softmax,0.1,2.0,,,0.44984375,0.2632955264498491,0.450625,434.7782184269302,196.85924816131592
247,10,0.01,200,False,sparse,sigmoid,softmax,0.1,2.0,10,0,0.45359375,0.270718788190567,0.43375,459.5247567974671,15.849006652832031
248,10,0.01,200,False,sparse,sigmoid,softmax,0.1,2.0,10,0.001,0.37703125,0.25024365058038606,0.325625,361.06952049565393,12.68028712272644
249,10,0.01,200,False,sparse,sigmoid,softmax,0.2,1.0,,,0.45375,0.26774050211007955,0.450625,428.2737492634688,197.93810105323792
251,10,0.01,200,False,sparse,sigmoid,softmax,0.2,1.0,10,0,0.37015625,0.25990218208343474,0.3275,396.4906881464137,16.99906826019287
252,10,0.01,200,False,sparse,sigmoid,softmax,0.2,1.0,10,0.001,0.430625,0.2384762351580484,0.3825,401.25521063575,33.87203526496887
253,10,0.01,200,False,sparse,sigmoid,softmax,0.2,2.0,,,0.4615625,0.2668439548090633,0.445,419.9098586929499,199.46027183532715
255,10,0.01,200,False,sparse,sigmoid,softmax,0.2,2.0,10,0,0.40140625,0.24815978201726152,0.330625,402.575075204524,19.02206325531006
256,10,0.01,200,False,sparse,sigmoid,softmax,0.2,2.0,10,0.001,0.36734375,0.255714228192454,0.325,384.94260758056095,35.435017108917236
257,10,0.01,200,False,sparse,tanh,softmax,0.1,1.0,,,0.8575,nan,0.863125,nan,127.48980975151062
259,10,0.01,200,False,sparse,tanh,softmax,0.1,1.0,10,0,0.8571875,nan,0.863125,nan,7.543999195098877
260,10,0.01,200,False,sparse,tanh,softmax,0.1,1.0,10,0.001,0.85671875,nan,0.863125,nan,7.51363205909729
261,10,0.01,200,False,sparse,tanh,softmax,0.1,2.0,,,0.8575,nan,0.863125,nan,128.93458080291748
263,10,0.01,200,False,sparse,tanh,softmax,0.1,2.0,10,0,0.85734375,nan,0.863125,nan,7.558379888534546
264,10,0.01,200,False,sparse,tanh,softmax,0.1,2.0,10,0.001,0.85765625,nan,0.863125,nan,7.574983358383179
265,10,0.01,200,False,sparse,tanh,softmax,0.2,1.0,,,0.8575,nan,0.863125,nan,127.6034004688263
267,10,0.01,200,False,sparse,tanh,softmax,0.2,1.0,10,0,0.8575,nan,0.863125,nan,7.690891265869141
268,10,0.01,200,False,sparse,tanh,softmax,0.2,1.0,10,0.001,0.8575,nan,0.863125,nan,7.702337026596069
269,10,0.01,200,False,sparse,tanh,softmax,0.2,2.0,,,0.8575,nan,0.863125,nan,129.05180740356445
